rank,name,symbol,market_cap,price,circulating_supply,volume,change_7d
1,Bitcoin,BTC,"$5,125,963,514.89",$378.05,"13,559,050 BTC","$9,194,437.00",2.90%
2,XRP,XRP,"$346,223,397.22",$0.01121,"30,881,360,458 XRP","$2,857,345.00",30.08%
3,Litecoin,LTC,"$122,633,414.31",$3.5761,"34,292,594 LTC","$1,206,293.88",-0.18%
4,BitShares,BTS,"$47,475,323.74",$0.01901,"2,497,973,773 BTS","$509,740.69",14.56%
5,Dogecoin,DOGE,"$23,290,366.70",$0.0002421,"96,217,725,633 DOGE","$239,006.48",-4.88%
6,Nxt,NXT,"$19,224,491.02",$0.01922,"999,997,096 NXT","$19,747.19",1.18%
7,Peercoin,PPC,"$16,255,400.13",$0.742,"21,906,121 PPC","$21,638.82",1.29%
8,Counterparty,XCP,"$15,184,989.77",$5.7369,"2,646,903 XCP","$19,078.57",-16.10%
9,MaidSafeCoin,MAID,"$12,603,431.34",$0.02785,"452,552,412 MAID","$2,307.01",-7.38%
10,Dash,DASH,"$11,695,805.94",$2.3851,"4,903,621 DASH","$43,116.09",3.81%
11,Namecoin,NMC,"$9,468,341.87",$0.9109,"10,394,000 NMC","$12,833.39",2.81%
12,Stellar,XLM,"$7,829,158.50",$0.00221,"3,543,206,175 XLM","$61,161.59",4.85%
13,FuelCoin,FC2,"$5,676,462.32",$0.05671,"100,101,526 FC2","$9,656.42",49.76%
14,SuperNET,UNITY,"$3,112,489.64",$3.8140,"816,061 UNITY","$11,922.27",13.49%
15,NuShares,NSR,"$3,016,886.58",$0.004991,"604,515,318 NSR","$40,691.98",62.29%
16,Banx,BANX,"$2,933,630.74",$1.1340,"2,586,882 BANX","$20,549.98",10.23%
17,Monero,XMR,"$2,776,541.30",$0.5676,"4,892,138 XMR","$14,933.10",7.33%
18,BitcoinDark,BTCD,"$2,684,244.71",$2.2484,"1,193,870 BTCD","$3,502.96",30.60%
19,NuBits,USNBT,"$2,266,335.46",$1.0092,"2,245,631 USNBT","$5,881.67",0.89%
20,BlackCoin,BLK,"$2,055,106.24",$0.0275,"74,722,664 BLK","$16,984.65",0.16%
21,YbCoin,YBC,"$1,974,079.01",$0.658,"3,000,000 YBC","$35,567.33",-23.01%
22,Storjcoin X,SJCX,"$1,941,621.81",$0.04683,"41,464,404 SJCX","$1,700.79",222.47%
