name,info,end_date
Giảm 10% Toàn Sàn,Voucher Shopee Xtra giảm 10% tối đa 100K mọi đơn hàng từ 100K,18 Tháng 11 2024
Giảm 10% Toàn Ngành Hàng,Voucher Shopee Xtra giảm giá 10% tối đa 150K đơn từ 400K,18 Tháng 11 2024
Giảm 50% Shopee Video,[Trên App] Voucher Shopee Video giảm 50% lên đến 30K săn sale ngay,31 Tháng 12 2025
Giảm 50% Shopee Live,[Trên App] Săn voucher Shopee Live giảm 50% tối đa 25K mọi đơn hàng,31 Tháng 12 2025
Giảm 3 Triệu Shopee Rewards,Voucher Shopee Rewards giảm đến 3 Triệu cho hội viên thân thiết,31 Tháng 12 2024
Freeship Giảm 10K,Voucher freeship Shopee giảm 10K mọi đơn hàng từ 0Đ,31 Tháng 12 2025
Giảm 20% - PGBank,[PGBank] Voucher Shopee giảm 20% tối đa 20K mọi đơn hàng,31 Tháng 12 2024
Giảm 10% - BIDV,[BIDV] Voucher Shopee giảm giá 10% tối đa 20K đơn từ 50K,31 Tháng 3 2025
Giảm 10K - ShopeePay & SPayLater,[ShopeePay/SPayLater] Mã Shopee giảm giá 10K hóa đơn từ 99K,20 Tháng 11 2024
Giảm 25% Shopee Choice,Voucher Shopee Choice giảm 25% tối đa 30K cho đơn từ 100K,30 Tháng 11 2024
Giảm 10% Shopee Choice,Voucher Shopee Choice giảm giá 10% tối đa 30K đơn từ 75K,30 Tháng 11 2024
Giảm 8K - ShopeePay & SPayLater,[ShopeePay/SPayLater] Mã giảm giá Shopee 8K cho đơn từ 99K,20 Tháng 11 2024
Giảm 30K - NCB,[NCB] Voucher Shopee giảm giá 30K đơn hàng từ 250K,31 Tháng 12 2024
Giảm 100K - SHB,[SHB] Voucher Shopee giảm 100K đơn hàng từ 600K mỗi thứ 7,03 Tháng 2 2025
Giảm 50K - Shinhan Bank,[Shinhan Bank] Voucher Shopee 50K hóa đơn mua sắm từ 400K,31 Tháng 12 2024
Giảm 50K - ACB,[ACB] Voucher Shopee giảm 50K cho hóa đơn từ 500K,31 Tháng 3 2025
Giảm 50K - HSBC,[HSBC] Voucher Shopee giảm giá 50K đơn hàng từ 500K,31 Tháng 12 2024
